rule_id,triggers,categories,guidance,priority,source
no_generic_filler,"rich|enhanced|tag-heavy|prompt","style|rendering|lighting","Do not pad with generic phrases such as intense, high detail, beautiful scene, perfect anatomy, dynamic composition, realistic or soft lighting unless the user actually requested that dimension.",100,Project failure analysis
preserve_user_facts,"","all","Every explicit visual fact from the user is a hard requirement. Prefer deterministic preservation over creative substitution.",100,Project compiler
no_invented_appearance,"девушка|женщина|girl|woman|персонаж","appearance|outfit","If hair, eyes, body type, identity or outfit are unspecified, leave them unspecified instead of inventing them.",100,Project compiler
partner_gender_lock,"анус|anal|sex|interaction|траха","subject|interaction","Do not infer an unspecified partner gender from an interaction. Subject count/type and partner identity are separate dimensions.",100,Project compiler
camera_vs_gaze,"сверху|снизу|сбоку|сзади|camera|viewer|взгляд|смотрит","camera|expression_gaze","Camera angle, framing and subject gaze/head direction are separate controls. Never normalize one into another.",95,Expression/Gaze/Pose normalization
pose_vs_camera,"стоит|сидит|лежит|колен|pose|from above|from below|from side","pose|camera","Posture and camera are separate dimensions; they may coexist without being synonyms.",95,Expression/Gaze/Pose normalization
mouth_vs_emotion,"рот|губ|mouth|smile|smirk","expression_gaze","Mouth state and emotion are separate. Compatible controls such as smile + parted lips may coexist.",90,Expression/Gaze/Pose normalization
one_dominant_camera,"camera|ракурс|вид|угол","camera","Use one dominant camera/view instruction unless the user explicitly requests a compound framing. Do not invent wide angle, fisheye or dynamic angle as decoration.",90,Project compiler
precise_prose_fallback,"руки|ладони|окно|стекло|relation|hands","pose|critical_details","When a required limb relation has no reliable compact tag, keep one short precise prose atom rather than inventing a pseudo-tag.",95,Project compiler
blur_semantics,"размыт|blur|bokeh|depth of field","rendering|scene","Background blur, depth of field and bokeh are related but not synonyms. Use only the controls that match the requested visual effect.",90,Lighting/Effects normalization
lighting_semantics,"свет|освещение|lighting|rim|soft|cinematic","lighting","Keep verified lighting/effect controls distinct from community prose. Do not replace rim lighting with backlighting or soft lighting with soft focus automatically.",90,Lighting/Effects normalization
quality_toggle,"masterpiece|best quality|very aesthetic|quality","style","When NovelAI Add Quality Tags is enabled, avoid duplicating the automatic quality preamble unless deliberately testing it.",95,NovelAI model profile
community_is_evidence,"community|telegram|sheet|observed","all","Community prompts are retrieval examples and hypotheses, not canonical tag proof. Preserve evidence labels.",100,Project knowledge map
ab_test_method,"test|experiment|fix|mesh|weight","all","For uncertain community recipes, change one variable at a time, keep settings/seed comparable where practical, repeat across multiple generations and record failures as well as successes.",85,TravelingRobot community research methodology
adult_decomposition,"анус|anal|sex|траха|adult interaction","interaction|pose|camera|rendering|scene","For explicit interaction prompts, keep action anchors separate from posture/orientation, limb placement, camera, render effects and environment. Do not translate the whole interaction into one English sentence.",95,Telegram prompt corpus
