canonical,category,evidence,aliases_ru,aliases_en,source,notes
1girl,subject,VERIFIED_NAI_DOC,"девушка|девушку|одна девушка|женщина|женщину|одна женщина","girl|woman|1 girl",NovelAI official,"NovelAI subject-count control; use when one female subject is explicit."
1boy,subject,VERIFIED_NAI_DOC,"парень|парня|мужчина|мужчину|один мужчина","boy|man|1 boy",NovelAI official,"NovelAI subject-count control; do not infer when partner gender is unspecified."
blurry background,rendering,VERIFIED_TAG_SOURCE,"размытый фон|фон размыт|размыто на фоне|задний план размыт|размыто за окном|за окном размыто","blurred background|background blur|blurry background",Project normalization,"Canonical/source-observed background blur concept."
depth of field,rendering,VERIFIED_NAI_DOC,"глубина резкости|малая глубина резкости|размытие по глубине","depth of field|shallow depth of field",NovelAI official,"Use when foreground/background separation is actually intended."
bokeh,rendering,VERIFIED_NAI_DOC,"боке|огни боке","bokeh",NovelAI official,"Special effect; do not add merely because the background is blurry."
from side,camera,VERIFIED_NAI_DOC,"вид сбоку|камера сбоку|сбоку","side view|from side",NovelAI official,"Camera/view-angle control."
from above,camera,VERIFIED_NAI_DOC,"вид сверху|камера сверху|сверху","from above|high angle view",NovelAI official,"Camera/view-angle control; not a gaze direction."
from below,camera,VERIFIED_NAI_DOC,"вид снизу|камера снизу|снизу","from below|low angle view",NovelAI official,"Camera/view-angle control; not a gaze direction."
from behind,camera,VERIFIED_NAI_DOC,"вид сзади|камера сзади","from behind|rear view",NovelAI official,"Camera/view-angle control."
pov,camera,VERIFIED_NAI_DOC,"от первого лица|пов|вид от первого лица","pov|first person view",NovelAI official,"First-person framing."
standing,pose,VERIFIED_TAG_SOURCE,"стоит|стоя|стоячая поза","standing|stand",Project verified core,"Posture."
sitting,pose,VERIFIED_TAG_SOURCE,"сидит|сидя|сидячая поза","sitting|seated",Project verified core,"Posture."
kneeling,pose,VERIFIED_TAG_SOURCE,"на коленях|стоит на коленях|коленопреклоненная","kneeling|on both knees",Project verified core,"Posture; do not confuse with one-knee posture."
lying,pose,VERIFIED_TAG_SOURCE,"лежит|лежа","lying|lying down",Project normalization,"Posture."
leaning forward,pose,VERIFIED_TAG_SOURCE,"наклоняется вперед|наклонилась вперед|подается вперед","leaning forward|leans forward",Project verified core,"Body orientation/posture."
looking at viewer,expression_gaze,VERIFIED_TAG_SOURCE,"смотрит на зрителя|смотрит в камеру|взгляд в камеру","looking at viewer|looking at camera",Project normalization,"Gaze control; separate from camera angle."
looking back,expression_gaze,COMMUNITY_CANDIDATE,"оглядывается|смотрит назад|оборачивается","looking back|glancing back",Community corpus,"Useful candidate; keep evidence distinct from verified NovelAI controls."
parted lips,expression_gaze,VERIFIED_TAG_SOURCE,"слегка приоткрытые губы|приоткрытые губы","parted lips",Project normalization,"Mouth state; may coexist with an expression."
open mouth,expression_gaze,VERIFIED_TAG_SOURCE,"открытый рот|рот открыт","open mouth",Project normalization,"Mouth state."
closed mouth,expression_gaze,VERIFIED_TAG_SOURCE,"закрытый рот|рот закрыт","closed mouth",Project normalization,"Mouth state."
blush,expression_gaze,VERIFIED_TAG_SOURCE,"румянец|краснеет|покрасневшие щеки","blush|blushing",Project normalization,"Expression/face state."
sweat,rendering,COMMUNITY_CANDIDATE,"пот|в поту|вспотевшая|вспотел","sweat|sweating",Telegram/community corpus,"Observed high-utility effect; candidate status is separate from canonical proof."
motion lines,rendering,VERIFIED_NAI_DOC,"линии движения|линии скорости движения","motion lines",NovelAI official,"Official special-effect vocabulary."
backlighting,lighting,VERIFIED_NAI_DOC,"контровой свет|подсветка сзади","backlighting|backlit",NovelAI official,"Purposeful lighting control."
soft lighting,lighting,PROSE_COMMUNITY_CONCEPT,"мягкий свет|мягкое освещение","soft lighting",Project lighting normalization,"Descriptive prose, not interchangeable with soft focus."
cinematic lighting,lighting,PROSE_COMMUNITY_CONCEPT,"кинематографичный свет|кинематографическое освещение","cinematic lighting",Project lighting normalization,"Community/prose concept; do not claim canonical Danbooru status."
indoors,scene,VERIFIED_NAI_DOC,"в помещении|внутри помещения|интерьер","indoors|inside",NovelAI official,"Global scene/location control."
outdoors,scene,VERIFIED_NAI_DOC,"на улице|снаружи|на открытом воздухе","outdoors|outside",NovelAI official,"Global scene/location control."
classroom,scene,COMMUNITY_CANDIDATE,"класс|классная комната|в классе|школьный класс","classroom|school classroom",Telegram + community prompt corpus,"Common scene atom; not promoted here as official/canonical proof."
window,scene,PROSE_SCENE_CONCEPT,"окно|окну|у окна|стекло|стеклу","window|glass window",Telegram + community prompt corpus,"Precise scene object; safe as short prose when canonical status is not required."
schoolyard,scene,PROSE_SCENE_CONCEPT,"школьный двор|двор школы|школьный дворик","schoolyard|school yard",Community prompt corpus,"Precise environment cue; keep as prose unless separately verified."
hands pressed against window,pose,PROSE_RELATION,"прижимается руками к окну|прижимает руки к окну|прижимает ладони к стеклу|руки прижаты к окну|ладони прижаты к стеклу","hands pressed against window|palms pressed against glass",User-requirement normalization,"Preserve as one precise prose atom instead of inventing a fake booru tag."
anal,interaction,OBSERVED_CORPUS,"в анус|анально|анальный секс|трахают в анус|трахает в анус","anal|anal sex|being fucked in the anus|fucked in the anus",Telegram prompt corpus,"Observed compact action anchor. Corpus occurrence is not canonical proof."
